noise_level,planner,trial,success,steps,drift_events
Low (95/2.5/2.5),A*,58,True,123,3
Low (95/2.5/2.5),A*,59,True,40,1
Low (95/2.5/2.5),A*,60,True,126,9
Low (95/2.5/2.5),A*,61,True,140,6
Low (95/2.5/2.5),A*,62,True,187,9
Low (95/2.5/2.5),A*,63,True,40,1
Low (95/2.5/2.5),A*,64,True,38,0
Low (95/2.5/2.5),A*,65,True,39,1
Low (95/2.5/2.5),A*,66,True,38,0
Low (95/2.5/2.5),A*,67,True,69,5
Low (95/2.5/2.5),A*,68,True,65,6
Low (95/2.5/2.5),A*,69,True,40,0
Low (95/2.5/2.5),A*,70,True,40,2
Low (95/2.5/2.5),A*,71,True,113,5
Low (95/2.5/2.5),A*,72,True,38,0
Low (95/2.5/2.5),A*,73,True,39,1
Low (95/2.5/2.5),A*,74,True,38,0
Low (95/2.5/2.5),A*,75,True,38,2
Low (95/2.5/2.5),A*,76,True,148,6
Low (95/2.5/2.5),A*,77,True,38,0
Low (95/2.5/2.5),A*,78,True,158,9
Low (95/2.5/2.5),A*,79,True,41,2
Low (95/2.5/2.5),A*,80,True,156,4
Low (95/2.5/2.5),A*,81,True,79,3
Low (95/2.5/2.5),A*,82,True,138,7
Low (95/2.5/2.5),A*,83,True,40,3
Low (95/2.5/2.5),A*,84,True,72,6
Low (95/2.5/2.5),A*,85,True,38,0
Low (95/2.5/2.5),A*,86,True,39,1
Low (95/2.5/2.5),A*,87,True,181,6
Low (95/2.5/2.5),A*,88,True,70,3
Low (95/2.5/2.5),A*,89,True,39,1
Low (95/2.5/2.5),A*,90,True,101,7
Low (95/2.5/2.5),A*,91,True,99,4
Low (95/2.5/2.5),A*,92,True,38,0
Low (95/2.5/2.5),A*,93,False,300,10
Low (95/2.5/2.5),A*,94,True,211,8
Low (95/2.5/2.5),A*,95,True,186,13
Low (95/2.5/2.5),A*,96,True,41,2
Low (95/2.5/2.5),A*,97,True,137,4
Low (95/2.5/2.5),A*,98,True,107,6
Low (95/2.5/2.5),A*,99,True,108,4
Low (95/2.5/2.5),A*,100,True,111,4
Low (95/2.5/2.5),A*,101,True,88,4
Low (95/2.5/2.5),A*,102,True,38,0
Low (95/2.5/2.5),A*,103,True,38,0
Low (95/2.5/2.5),A*,104,False,300,4
Low (95/2.5/2.5),A*,105,True,38,0
Low (95/2.5/2.5),A*,106,True,153,7
Low (95/2.5/2.5),A*,107,True,43,4
Low (95/2.5/2.5),A*,108,True,65,2
Low (95/2.5/2.5),A*,109,True,78,5
Low (95/2.5/2.5),A*,110,True,85,3
Low (95/2.5/2.5),A*,111,True,152,4
Low (95/2.5/2.5),A*,112,True,252,9
Low (95/2.5/2.5),A*,113,True,100,3
Low (95/2.5/2.5),A*,114,True,214,4
Low (95/2.5/2.5),A*,115,True,115,5
Low (95/2.5/2.5),A*,116,False,300,12
Low (95/2.5/2.5),A*,117,True,91,6
Low (95/2.5/2.5),A*,118,False,300,7
Low (95/2.5/2.5),A*,119,True,96,3
Low (95/2.5/2.5),A*,120,True,192,9
Low (95/2.5/2.5),A*,121,True,104,5
Low (95/2.5/2.5),A*,122,True,39,1
Low (95/2.5/2.5),A*,123,True,95,2
Low (95/2.5/2.5),A*,124,True,80,4
Low (95/2.5/2.5),A*,125,True,40,1
Low (95/2.5/2.5),A*,126,True,89,4
Low (95/2.5/2.5),A*,127,True,40,1
Low (95/2.5/2.5),A*,128,True,42,2
Low (95/2.5/2.5),A*,129,True,146,7
Low (95/2.5/2.5),A*,130,True,165,3
Low (95/2.5/2.5),A*,131,True,50,2
Low (95/2.5/2.5),A*,132,True,250,8
Low (95/2.5/2.5),A*,133,True,39,3
Low (95/2.5/2.5),A*,134,True,40,0
Low (95/2.5/2.5),A*,135,True,129,8
Low (95/2.5/2.5),A*,136,True,44,2
Low (95/2.5/2.5),A*,137,True,96,3
Low (95/2.5/2.5),A*,138,True,87,5
Low (95/2.5/2.5),A*,139,True,147,5
Low (95/2.5/2.5),A*,140,True,39,1
Low (95/2.5/2.5),A*,141,True,44,2
Low (95/2.5/2.5),A*,142,True,190,5
Low (95/2.5/2.5),A*,143,True,198,8
Low (95/2.5/2.5),A*,144,True,44,2
Low (95/2.5/2.5),A*,145,True,38,0
Low (95/2.5/2.5),A*,146,True,93,4
Low (95/2.5/2.5),A*,147,True,112,5
Low (95/2.5/2.5),A*,148,True,38,0
Low (95/2.5/2.5),A*,149,True,76,5
Low (95/2.5/2.5),A*,150,True,121,5
Low (95/2.5/2.5),A*,151,True,118,11
Low (95/2.5/2.5),A*,152,True,39,1
Low (95/2.5/2.5),A*,153,True,40,1
Low (95/2.5/2.5),A*,154,True,185,7
Low (95/2.5/2.5),A*,155,True,40,1
