map,algorithm,pair,success,time_ms,cost,length,nodes,memory_mb,smoothness
Hospital,A*,1,True,7.998900000529829,41.0,42,189,0.0327301025390625,15.75
Hospital,A*,2,True,21.60959999946499,82.0,83,558,0.08213043212890625,14.444444444444445
Hospital,A*,3,True,26.616099999955622,104.0,105,645,0.13543701171875,1.7475728155339805
Hospital,A*,4,True,82.67309999973804,155.0,156,1832,0.412078857421875,11.103896103896103
Hospital,A*,5,True,5.948500000158674,52.0,53,139,0.03295135498046875,1.7647058823529411
Hospital,A*,6,True,24.365600000237464,80.0,81,578,0.08304595947265625,5.69620253164557
Hospital,A*,7,True,30.315199999677134,118.0,119,745,0.1344451904296875,5.384615384615385
Hospital,A*,8,True,51.23280000043451,128.0,129,1168,0.15828704833984375,12.755905511811024
Hospital,A*,9,False,169.87309999967692,,,3976,0.8137989044189453,0.0
Hospital,RRT-Connect,0,False,1987.4282999999195,,,8,0.009237289428710938,0.0
Hospital,RRT-Connect,1,True,174.46659999950498,82.9521272064969,9,73,0.026037216186523438,62.73495675536673
Hospital,RRT-Connect,2,True,41.84179999992921,161.70243050799445,15,21,0.011615753173828125,33.550885683394235
Hospital,RRT-Connect,3,True,47.9486000003817,194.53022088579272,17,26,0.012456893920898438,43.76711035341034
Hospital,RRT-Connect,4,True,229.90389999995386,272.7122600649345,23,69,0.022243499755859375,35.28582310497503
Hospital,RRT-Connect,5,True,32.972699999845645,58.96707365153554,10,15,0.010217666625976562,48.93517018692675
Hospital,RRT-Connect,6,True,59.84489999991638,88.04460951328313,13,24,0.01219940185546875,35.18441612329862
Hospital,RRT-Connect,7,True,30.004899999767076,214.73047782363668,17,18,0.011127471923828125,50.77283967687601
Hospital,RRT-Connect,8,True,66.05080000008456,153.57410001186895,22,29,0.013225555419921875,30.940965260711682
Hospital,RRT-Connect,9,False,2884.136700000454,,,512,0.13658714294433594,0.0
